A1C,DFC,IPC,ITC,M1C,MFC,OFC,S1C,STC,V1C,VFC
4.8938325,4.340554,3.7990165,4.2257925,4.643624,4.0266275,4.633871,4.374732,4.2734775,5.064198,4.6958105
6.1909765,6.9739545,5.6063955,6.699695,8.4913335,7.96667,6.96118,7.733465,8.155576,10.8593575,8.800508
0,0,0,0,0,0.048335,0,0,0,0,0
18.009099,15.1372195,16.3176565,18.9198645,18.995921,17.30927,15.062032,17.469269,17.5505525,19.319626,16.2259385
1.9936485,1.757662,1.998063,1.5399115,2.157994,1.46572,1.7553155,2.010019,1.757559,0.9260145,1.9396275
76.6009555,73.627116,74.71101,59.0268635,94.824045,62.2326395,78.679043,81.6111625,80.0487795,98.965148,78.881653
7.5900065,6.659092,11.2079935,8.72581,5.792249,8.6121215,6.386093,4.0219595,9.0685735,2.276854,7.5482315
0,0,0,0,0,0,0,0,0,0,0
13.0271935,12.5771665,10.8268775,12.5252855,16.5993215,15.1433735,13.576948,16.64155,17.568734,19.1730405,14.0374635
3.9839065,3.8584155,3.8616995,3.8639615,3.377838,3.9803445,3.6523425,3.8311315,3.3408795,4.6228015,3.467524
0.0795245,0.0837185,0.0294405,0.071904,0.1487585,0.0267745,0.114452,0.0600545,0,0.035352,0.0871445
4.970954,2.4167255,4.091229,4.1580425,2.1621785,3.188696,2.766173,2.4752095,2.5470615,2.3217835,2.414818
2.480186,2.8999975,2.7748755,3.14297,2.570881,2.814149,2.3666415,2.7036165,2.381618,3.358831,2.7320595
3.833469,3.593247,4.068389,3.3369155,3.3041445,4.323346,4.1413655,3.7276355,2.6019165,2.7658985,3.315298
0.281909,0.242387,0.2809285,0.167582,0.259994,0.265003,0.3020325,0.421642,0.3970615,0.3351645,0.4030895
1.7000575,2.3291415,2.0342345,2.2311015,1.9652225,1.9659025,2.0616015,1.6376545,1.97559,2.0640715,2.061544
23.206049,28.777939,24.939441,23.0615485,23.339284,22.882259,26.7419115,22.491961,25.01539,25.388695,25.7665055
6.340312,6.472308,6.5117395,8.3181925,10.5222345,7.584056,6.0591325,9.208142,9.128741,10.1605515,6.5883765
6.204122,7.2475675,6.5956515,7.6210205,7.3097855,7.2033635,7.2725815,7.41409,8.123332,6.9818035,8.071376
2.5529835,2.5222165,2.055135,3.110037,5.2852555,2.400553,2.426349,3.5267195,2.9158255,3.792612,5.23048
65.387579,74.8747265,70.4275485,53.6122815,55.346614,60.9108205,80.551855,59.841671,63.859663,39.7977745,72.226749
4.830434,5.105572,5.2603335,4.847428,4.513797,4.6162245,5.1848315,4.8510485,5.280755,4.3701355,5.516883
11.55951,11.00606,10.863019,13.7444735,9.2270415,12.777219,9.2878655,12.175748,9.8023535,13.0906865,9.989701
7.246631,7.6332905,7.159573,9.252743,7.840124,8.0163835,7.0208845,9.7729865,8.716721,8.9521575,8.023441
0.6982575,2.1420785,0.5705595,0.85178,1.462226,0.9878285,1.1525235,1.322839,1.0648935,1.5350425,1.6187475
